Contents of customers table:

Total records: 97

Docuware_Clinic_Name | Sell_to_Customer_No
--------------------------------------------------
West Suffolk Hospital | GB-CUST01981
W. Suffolk | GB-CUST01981
Ely | GB-CUST02090
Doddington | GB-CUST02090
WPH | GB-CUST02384
QE2 - ENH | GB-CUST02426
Lister- ENH | GB-CUST02426
Stamford | GB-CUST02295
NNUH | GB-CUST02634
BELL Orthotics Ltd | GB-CUST02640
Warwick | GB-CUST00058
N&NUH | GB-CUST02634
Polyclinic | GB-CUST02484
Moulsham | GB-CUST01827
Moulsham Grange | GB-CUST01827
Wexham Park | GB-CUST02384
Peterborough City Hospital | GB-CUST02295
Medway Hospital | GB-CUST02158
Polyclinic Mitcham | GB-CUST02484
Sudbury | GB-CUST01940
Dorking | GB-CUST02565
Oakwood Kett | GB-CUST01892
WS | GB-CUST01981
NGH | GB-CUST02298
QE2 | GB-CUST02426
Mile End - FH | GB-CUST01795
Bury CDC | GB-CUST02554
Mile End -FH | GB-CUST01795
Wembley | GB-CUST01587
Willesden | GB-CUST01575
The Village School | GB-CUST01586
Lister Hospital | GB-CUST02426
WSH | GB-CUST01981
Norfolk & Norwich | GB-CUST02634
Stapleford House - Provide | GB-CUST01827
Ealing CDC | GB-CUST02696
PCH | GB-CUST02295
Norfolk and Norwich | GB-CUST02634
JPH | GB-CUST02569
James Paget | GB-CUST02569
Stephen Hawking School - St Judes Road | GB-CUST02234
Stephen Hawking School - Brunton Place | GB-CUST02234
The Bridge | GB-CUST01966
PCH Diab | GB-CUST02583
QEII | GB-CUST02426
Goldie Leigh | GB-CUST01877
Mile End | GB-CUST01795
Oak Tree | GB-CUST01957
East Surrey | GB-CUST01700
Oaktree | GB-CUST01957
Peacock | GB-CUST02063
Peterborough Paeds | GB-CUST02563
Halo Medical | GB-CUST02634
N&N | GB-CUST02634
Hinchingbrooke | GB-CUST02090
Lister - ENH | GB-CUST02426
Medway | GB-CUST02158
Frimley | GB-CUST02374
Peacock Centre | GB-CUST02063
Mile End Hospital | GB-CUST01795
Hackney Ark | GB-CUST01884
Goldie Leigh Centre | GB-CUST01877
Dorking Community Hospital | GB-CUST02565
Bury Child Development Centre Orthotic Clinic | GB-CUST02554
Bedford Child Development Ctr - Delivery | GB-CUST01854
Beatrice Tate School | GB-CUST01840
Cromer | GB-CUST02637
Wexham | GB-CUST02384
Kingston | GB-CUST02627
Lister | GB-SO0258569
BATTLEHOUSE | GB-CUST02298
Beatrice Tate | GB-CUST01840
Bedford | GB-CUST00206
Cambridge | GB-CUST02090
Foot And Ankle Expo | GB-CUST02627
GEH | GB-CUST02660
George Eliot | GB-CUST02660
George Eliot Hospital | UK-CUST03194
Harpenden | GB-CUST02496
Hinchingbooke | GB-CUST02090
Isebrooke | GB-CUST01892
James Paget Hospital | GB-CUST02569
N & N | GB-CUST02634
Oakwood | GB-CUST01892
OPCARE | GB-CUST02790
Oxted | GB-CUST01700
P.C.H | GB-CUST02295
Peterborough | GB-CUST02295
Private | GB-CUST02515
QE WGC | GB-CUST02426
Rotherham | GB-CUST00155
Sandwell & West Birmingham | GB-CUST01861
South Warwickshire | GB-CUST00058
Taif KINGSTON | GB-CUST02627
W.S.H | GB-CUST01981
Warwick Hospital | GB-CUST00058
West Suffolk | GB-CUST01981
